seqname	start	stop	strand	gene_id	gene_biotype	gene_name
1	176582083	176586442	+	ENSMUSG00000103435	lncRNA	Gm36992
1	176599891	176599989	-	ENSMUSG00000065573	miRNA	Mir350
1	176621522	176621786	+	ENSMUSG00002076271	misc_RNA	Gm54718
1	151396198	151396438	-	ENSMUSG00000100551	processed_pseudogene	Gm19503
1	151424996	151426694	-	ENSMUSG00000100357	lncRNA	Gm28181
1	9737640	9770434	-	ENSMUSG00000025912	protein_coding	Mybl1
1	9788847	9818607	-	ENSMUSG00000045210	protein_coding	Vcpip1
1	43972807	44042160	+	ENSMUSG00000041763	protein_coding	Tpp2
1	176642226	176848003	+	ENSMUSG00000026504	protein_coding	Sdccag8
1	176663290	176663628	+	ENSMUSG00000103367	processed_pseudogene	Gm38158
1	176681966	176682125	-	ENSMUSG00000103584	unprocessed_pseudogene	Gm38053
1	176707400	176707479	+	ENSMUSG00002076339	miRNA	Gm54732
1	176709137	176709971	+	ENSMUSG00000102475	processed_pseudogene	Gm37246
1	44048568	44059194	-	ENSMUSG00000047343	protein_coding	Mettl21c
1	176717073	176717796	+	ENSMUSG00000102211	TEC	Gm37490
1	176755565	176760277	-	ENSMUSG00000087082	lncRNA	Gm15423
1	44057630	44057809	-	ENSMUSG00000090106	processed_pseudogene	Gm15838
1	176801802	176804011	+	ENSMUSG00000103251	TEC	Gm37519
1	44095032	44118906	-	ENSMUSG00000091844	protein_coding	Gm8251
1	151446937	151597690	+	ENSMUSG00000026483	protein_coding	Niban1
1	75601298	75602973	+	ENSMUSG00000082528	processed_pseudogene	Gm15182
1	75613034	75613823	+	ENSMUSG00000082012	processed_pseudogene	Gm5257
1	75993295	75995393	-	ENSMUSG00000099996	lncRNA	Gm29065
1	76086818	76087217	-	ENSMUSG00000101763	processed_pseudogene	Gm29068
1	76397329	76505059	+	ENSMUSG00000100827	lncRNA	Gm29069
1	76465770	76478665	+	ENSMUSG00000100553	lncRNA	Gm17751
1	76486197	76486280	+	ENSMUSG00000098611	miRNA	Mir6343
1	76867109	77004429	-	ENSMUSG00000100534	lncRNA	Gm816
1	77119864	77123629	-	ENSMUSG00000102904	TEC	Gm38265
1	77121390	77121483	+	ENSMUSG00002076350	rRNA	Gm54739
1	176847639	177085769	-	ENSMUSG00000019699	protein_coding	Akt3
1	176862606	176864502	-	ENSMUSG00000104391	TEC	Gm37960
1	176872808	176874339	-	ENSMUSG00000102133	TEC	Gm37106
1	176902050	176903350	-	ENSMUSG00000102749	TEC	Gm37598
1	176961727	176963019	-	ENSMUSG00000103163	TEC	Gm38146
1	176995664	176998428	-	ENSMUSG00000103646	TEC	Gm37706
1	177057457	177058252	-	ENSMUSG00000102427	TEC	Gm37463
1	177096918	177097234	+	ENSMUSG00000103633	processed_pseudogene	Gm38328
1	177255904	177270836	-	ENSMUSG00000097892	lncRNA	Gm26801
1	177269917	177278330	+	ENSMUSG00000063659	protein_coding	Zbtb18
1	177286532	177288770	+	ENSMUSG00000102432	lncRNA	Gm29856
1	177294944	177303833	+	ENSMUSG00000103043	lncRNA	Gm37306
1	177416587	177422088	-	ENSMUSG00000102885	lncRNA	Gm37280
1	44125773	44141601	-	ENSMUSG00000026049	protein_coding	Tex30
1	177463273	177464503	-	ENSMUSG00000103767	TEC	Gm37858
1	151631122	151697802	+	ENSMUSG00000043019	protein_coding	Edem3
1	44130623	44149950	-	ENSMUSG00000101104	lncRNA	Gm29247
1	177557380	177580890	+	ENSMUSG00000015962	protein_coding	1700016C15Rik
1	151728154	151965876	-	ENSMUSG00000032666	protein_coding	1700025G04Rik
1	151730574	151730706	-	ENSMUSG00000084557	snRNA	Gm25279
1	151751170	151762814	+	ENSMUSG00000100685	lncRNA	Gm28610
1	152004336	152005140	+	ENSMUSG00000102090	processed_pseudogene	Gm8964
1	152167934	152168279	-	ENSMUSG00000103744	TEC	Gm38238
1	177590528	177624077	-	ENSMUSG00000015961	protein_coding	Adss
1	177614422	177615031	+	ENSMUSG00000089657	processed_pseudogene	Gm16585
1	177635997	177790244	+	ENSMUSG00000102483	protein_coding	Catspere1
1	152246486	152262439	-	ENSMUSG00000014980	protein_coding	Tsen15
1	77343822	77491725	-	ENSMUSG00000026235	protein_coding	Epha4
1	77473290	77473405	-	ENSMUSG00000099141	miRNA	Mir6352
1	152275581	152386446	+	ENSMUSG00000032649	protein_coding	Colgalt2
1	77491917	77493765	+	ENSMUSG00000101849	lncRNA	Gm28386
1	77547309	77547600	+	ENSMUSG00000101506	processed_pseudogene	Gm28385
1	77874920	77875083	-	ENSMUSG00000065215	snRNA	Gm26263
1	77919603	77949013	-	ENSMUSG00000102052	lncRNA	Gm28387
1	44145706	44157968	-	ENSMUSG00000026047	protein_coding	Poglut2
1	152282825	152283276	-	ENSMUSG00000080878	processed_pseudogene	Btf3-ps14
1	177810989	178000271	+	ENSMUSG00000091476	protein_coding	Catspere2
1	177817228	177826305	-	ENSMUSG00000104097	unprocessed_pseudogene	Gm37313
1	177855599	177855705	-	ENSMUSG00000119789	snRNA	Gm25312
1	177970867	177971838	+	ENSMUSG00000102493	unprocessed_pseudogene	Gm8010
1	78077904	78173771	-	ENSMUSG00000004872	protein_coding	Pax3
1	78193369	78194113	-	ENSMUSG00000118426	processed_pseudogene	Gm2102
1	44158117	44183930	+	ENSMUSG00000041684	protein_coding	Bivm
1	78286982	78396926	+	ENSMUSG00000032908	protein_coding	Sgpp2
1	78302265	78316743	-	ENSMUSG00000099561	lncRNA	Gm28410
1	78352251	78353068	+	ENSMUSG00000102945	TEC	Gm37884
1	178014983	178084867	+	ENSMUSG00000026502	protein_coding	Desi2
1	178093770	178094672	+	ENSMUSG00000103958	processed_pseudogene	Gm8023
1	178103613	178104206	-	ENSMUSG00000070489	pseudogene	4930527J03Rik
1	178126961	178127365	+	ENSMUSG00000104126	processed_pseudogene	Gm37486
1	178146695	178150258	+	ENSMUSG00000026500	protein_coding	Cox20
1	44186904	44220420	+	ENSMUSG00000026048	protein_coding	Ercc5
1	44243230	44258121	-	ENSMUSG00000046828	protein_coding	Mettl21e
1	44251322	44252278	+	ENSMUSG00000089703	processed_pseudogene	Gm15833
1	44369208	44370196	-	ENSMUSG00000100966	processed_pseudogene	Gm5700
1	44431969	44433607	+	ENSMUSG00000100769	lncRNA	Gm28893
1	44503083	44503391	-	ENSMUSG00000101567	processed_pseudogene	Txn-ps1
1	78394612	78465534	-	ENSMUSG00000026245	protein_coding	Farsb
1	78409989	78410249	+	ENSMUSG00000101798	unprocessed_pseudogene	Gm28995
1	78442085	78443563	-	ENSMUSG00000104018	TEC	4833412K13Rik
1	78473663	78488795	-	ENSMUSG00000090486	protein_coding	BC035947
1	152392511	152642102	-	ENSMUSG00000026482	protein_coding	Rgl1
1	152559777	152563252	-	ENSMUSG00000086145	lncRNA	Gm15479
1	152604910	152606310	-	ENSMUSG00000080950	processed_pseudogene	Gm7278
1	152606957	152627575	-	ENSMUSG00000099868	lncRNA	Gm28792
1	152626302	152633295	+	ENSMUSG00000055547	protein_coding	Apobec4
1	78487628	78514810	+	ENSMUSG00000012187	protein_coding	Mogat1
1	152642293	152651348	+	ENSMUSG00000008475	protein_coding	Arpc5
1	78571663	78588078	-	ENSMUSG00000099364	lncRNA	5730419F03Rik
1	78593262	78597882	+	ENSMUSG00000100562	lncRNA	Gm29611
1	44590671	44835998	+	ENSMUSG00000056870	protein_coding	Gulp1
1	44600045	44604607	+	ENSMUSG00000102319	TEC	Gm37626
1	44683439	44683858	+	ENSMUSG00000089877	processed_pseudogene	Gm16102
1	44778836	44784109	-	ENSMUSG00000101701	lncRNA	4930521E06Rik
1	44796102	44797652	+	ENSMUSG00000103071	TEC	Gm38110
1	44878331	44878858	+	ENSMUSG00000100434	processed_pseudogene	Gm3489
1	44912646	44913312	-	ENSMUSG00000100013	processed_pseudogene	Gm19480
1	44963309	44964053	-	ENSMUSG00000101251	processed_pseudogene	Gm3496
1	45217227	45218166	+	ENSMUSG00000101937	processed_pseudogene	Gm5268
1	178148673	178165362	-	ENSMUSG00000039630	protein_coding	Hnrnpu
1	178167166	178169035	+	ENSMUSG00000104279	TEC	Gm38300
1	178190966	178191086	-	ENSMUSG00002075531	miRNA	Gm54783
1	178218384	178218489	+	ENSMUSG00000064954	snRNA	Gm24919
1	178233650	178312078	+	ENSMUSG00000026495	protein_coding	Efcab2
1	78635542	78685460	+	ENSMUSG00000032883	protein_coding	Acsl3
1	152675945	152712742	+	ENSMUSG00000026480	protein_coding	Ncf2
1	178356690	178766765	+	ENSMUSG00000026494	protein_coding	Kif26b
1	178464470	178464636	+	ENSMUSG00000064967	snRNA	Gm24405
1	178583373	178583846	+	ENSMUSG00000102922	processed_pseudogene	Gm34176
1	9868332	9971070	+	ENSMUSG00000025915	protein_coding	Sgk3
1	178726147	178745179	-	ENSMUSG00000089713	lncRNA	Gm16564
1	78635755	78649229	+	ENSMUSG00000079470	protein_coding	Utp14b
1	78760853	78762576	-	ENSMUSG00000099377	processed_pseudogene	Gm6159
1	78769340	79202228	-	ENSMUSG00000099706	lncRNA	Gm29536
1	78794475	78797745	+	ENSMUSG00000047330	protein_coding	Kcne4
1	78798975	78800369	+	ENSMUSG00000101324	lncRNA	Gm29187
1	78945354	78945796	-	ENSMUSG00000072978	processed_pseudogene	Gm5830
1	9872422	9872778	-	ENSMUSG00000046334	processed_pseudogene	Gm6195
1	9904723	9904827	-	ENSMUSG00002075801	snRNA	Gm54812
1	79412386	79417837	-	ENSMUSG00000050711	protein_coding	Scg2
1	79483520	79484874	-	ENSMUSG00000099562	processed_pseudogene	Gm19027
1	79491456	79491581	-	ENSMUSG00000077782	snoRNA	Gm24160
1	178779525	179345606	-	ENSMUSG00000055067	protein_coding	Smyd3
1	79584593	79649689	-	ENSMUSG00000054702	protein_coding	Ap1s3
1	179347943	179348422	-	ENSMUSG00000096474	processed_pseudogene	Gm5561
1	79597239	79598751	-	ENSMUSG00000102235	TEC	Gm37886
1	179355620	179373832	-	ENSMUSG00000026492	protein_coding	Tfb2m
1	179365982	179366500	+	ENSMUSG00000082395	processed_pseudogene	Gm15480
1	179373935	179455043	+	ENSMUSG00000038949	protein_coding	Cnst
1	45350698	45388866	+	ENSMUSG00000026043	protein_coding	Col3a1
1	9978863	10012310	+	ENSMUSG00000046101	protein_coding	Mcmdc2
1	45350833	45350973	+	ENSMUSG00002074901	miRNA	Gm54819
1	10012688	10012774	-	ENSMUSG00000093178	snoRNA	Snord87
1	10030388	10038157	-	ENSMUSG00000099032	protein_coding	Tcf24
1	10037539	10038912	+	ENSMUSG00000104025	TEC	E330040D14Rik
1	179495775	179514754	+	ENSMUSG00000038936	protein_coding	Sccpdh
1	152712746	152778397	-	ENSMUSG00000042772	protein_coding	Smg7
1	152754271	152756049	-	ENSMUSG00000100394	lncRNA	Gm28791
1	152812355	152812792	+	ENSMUSG00000103840	TEC	1700040K01Rik
1	179522862	179572836	-	ENSMUSG00000087236	protein_coding	Kif28
1	152825146	152825848	-	ENSMUSG00000100702	processed_pseudogene	Gm8976
1	45413481	45542442	-	ENSMUSG00000026042	protein_coding	Col5a2
1	45524996	45532212	-	ENSMUSG00000104476	TEC	Gm38211
1	79679979	79753860	-	ENSMUSG00000073643	protein_coding	Wdfy1
1	79740434	79742224	+	ENSMUSG00000104497	TEC	Gm10555
1	10038849	10079361	-	ENSMUSG00000025916	protein_coding	Ppp1r42
1	10052612	10062591	+	ENSMUSG00000087199	lncRNA	Gm15818
1	79753735	79759162	+	ENSMUSG00000026248	protein_coding	Mrpl44
1	10080039	10080142	-	ENSMUSG00000119658	snRNA	Gm24674
1	79771914	79838897	-	ENSMUSG00000026249	protein_coding	Serpine2
1	152830744	152995007	+	ENSMUSG00000042751	protein_coding	Nmnat2
1	79900253	79901143	-	ENSMUSG00000067106	processed_pseudogene	Gm5529
1	152942227	152965253	-	ENSMUSG00000099969	lncRNA	Gm28960
1	79935297	79935774	+	ENSMUSG00000100397	processed_pseudogene	Gm28071
1	80076339	80076602	+	ENSMUSG00000099753	processed_pseudogene	Gm28058
1	80113183	80113289	+	ENSMUSG00000118883	snRNA	Gm23934
1	80124690	80126518	-	ENSMUSG00000102518	TEC	Gm38339
1	80162436	80169790	+	ENSMUSG00000099552	lncRNA	9830004L10Rik
1	80176423	80196190	-	ENSMUSG00000043230	protein_coding	Fam124b
1	80232748	80233914	-	ENSMUSG00000103404	TEC	Gm37932
1	179572459	179631245	-	ENSMUSG00000026491	protein_coding	Ahctf1
1	179630941	179632241	+	ENSMUSG00000073486	lncRNA	Gm10518
1	10094826	10108393	-	ENSMUSG00000025917	protein_coding	Cops5
1	179752517	179752976	-	ENSMUSG00000104418	processed_pseudogene	Gm37070
1	152998502	153062193	-	ENSMUSG00000026479	protein_coding	Lamc2
1	80242640	80318197	-	ENSMUSG00000004364	protein_coding	Cul3
1	80252448	80254130	-	ENSMUSG00000103076	TEC	Gm37902
1	80303894	80305711	-	ENSMUSG00000103525	TEC	Gm37262
1	80360539	80363968	+	ENSMUSG00000101722	lncRNA	Gm29125
1	80360821	80362902	-	ENSMUSG00000090637	processed_pseudogene	Gm6189
1	153094668	153208532	-	ENSMUSG00000026478	protein_coding	Lamc1
1	80427314	80439165	-	ENSMUSG00000110100	protein_coding	Gm45261
1	153159596	153162936	-	ENSMUSG00000103818	TEC	Gm38009
1	153181178	153182224	+	ENSMUSG00000079138	processed_pseudogene	Gm8818
1	153300908	153328320	+	ENSMUSG00000042708	protein_coding	Shcbp1l
1	153315825	153315964	+	ENSMUSG00000064435	snoRNA	Gm25588
1	153319227	153320046	+	ENSMUSG00000103543	TEC	Gm37669
1	46095470	46098146	+	ENSMUSG00000099432	unprocessed_pseudogene	Gm18849
1	46105475	46412710	+	ENSMUSG00000041144	protein_coding	Dnah7b
1	46413357	46413475	+	ENSMUSG00000119743	rRNA	n-R5s211
1	153331504	153363406	-	ENSMUSG00000042699	protein_coding	Dhx9
1	46453662	46456092	+	ENSMUSG00000101262	processed_pseudogene	Gm8326
1	153378761	153425791	-	ENSMUSG00000042684	protein_coding	Npl
1	153495350	153496419	-	ENSMUSG00000099858	processed_pseudogene	Gm6652
1	46464752	46846636	+	ENSMUSG00000101337	protein_coding	Dnah7c
1	46846704	46932012	-	ENSMUSG00000025986	protein_coding	Slc39a10
1	46888689	46889639	-	ENSMUSG00000100213	lncRNA	Gm28151
1	46916363	46920232	-	ENSMUSG00000103129	TEC	Gm37393
1	46935743	46936039	-	ENSMUSG00000100160	processed_pseudogene	Gm28527
1	47106948	47107185	+	ENSMUSG00000101921	processed_pseudogene	Gm28825
1	47192621	47228231	+	ENSMUSG00000101447	lncRNA	Gm28826
1	47404803	47405531	-	ENSMUSG00000081185	processed_pseudogene	Gm4852
1	47472983	47474924	-	ENSMUSG00000103246	TEC	Gm38090
1	47506180	47506284	-	ENSMUSG00000098876	miRNA	Mir6350
1	47518027	47519357	+	ENSMUSG00000100530	processed_pseudogene	Gm18117
1	47645155	47646060	+	ENSMUSG00000104067	TEC	Gm37196
1	47696852	47698789	+	ENSMUSG00000100033	processed_pseudogene	Gm8337
1	47788438	47788558	-	ENSMUSG00002075213	miRNA	Gm54870
1	47790458	47790727	-	ENSMUSG00002076633	misc_RNA	Gm54871
1	47954148	47954974	-	ENSMUSG00000101996	processed_pseudogene	Gm19206
1	48353025	48354010	-	ENSMUSG00000096973	processed_pseudogene	Gm5974
1	48501332	48501452	-	ENSMUSG00000064943	snRNA	Gm23240
1	48566798	48567010	+	ENSMUSG00000100866	processed_pseudogene	Gm28830
1	48770738	48772249	-	ENSMUSG00000101721	processed_pseudogene	Gm8354
1	48822822	48823752	+	ENSMUSG00000099376	processed_pseudogene	Gm19124
1	48920872	48921882	+	ENSMUSG00000097883	processed_pseudogene	Gm8357
1	49134603	49135044	+	ENSMUSG00002076043	miRNA	Gm54872
1	49212319	49212533	-	ENSMUSG00000099698	processed_pseudogene	Gm28740
1	10108212	10206993	+	ENSMUSG00000056763	protein_coding	Cspp1
1	49275411	49276403	+	ENSMUSG00000099454	processed_pseudogene	Gm8367
1	49283775	49379602	+	ENSMUSG00000051616	lncRNA	C230029F24Rik
1	49438183	49439888	-	ENSMUSG00000099627	processed_pseudogene	Gm6757
1	49537712	49538151	+	ENSMUSG00000099577	processed_pseudogene	Gm3605
1	49618309	49618745	-	ENSMUSG00000099882	processed_pseudogene	Gm28388
1	50095941	50097649	+	ENSMUSG00000101760	processed_pseudogene	Gm8384
1	10127250	10128169	-	ENSMUSG00000102356	TEC	1700047N06Rik
1	50146629	50148121	+	ENSMUSG00000099608	lncRNA	4933411E06Rik
1	50216725	50217450	-	ENSMUSG00000099864	processed_pseudogene	Gm8391
1	50261548	50261679	-	ENSMUSG00002075839	misc_RNA	Gm54883
1	50436711	50437238	-	ENSMUSG00000100451	lncRNA	Gm29665
1	50572189	50572350	+	ENSMUSG00000099941	processed_pseudogene	Gm20118
1	50598921	50599234	+	ENSMUSG00002075589	misc_RNA	Gm54885
1	50854534	50856860	+	ENSMUSG00000100816	lncRNA	Gm28321
1	153528771	153576069	+	ENSMUSG00000042671	protein_coding	Rgs8
1	153566137	153568402	-	ENSMUSG00000100945	lncRNA	Gm29529
1	153590400	153592315	+	ENSMUSG00000102404	TEC	5530400K19Rik
1	153596986	153613575	-	ENSMUSG00000100334	lncRNA	C230024C17Rik
1	50939806	51226429	+	ENSMUSG00000026109	protein_coding	Tmeff2
1	153616095	153621214	+	ENSMUSG00000026475	protein_coding	Rgs16
1	153619298	153625070	-	ENSMUSG00000099568	lncRNA	Gm28513
1	50943603	50945077	+	ENSMUSG00000100671	lncRNA	Gm28322
1	51054472	51054572	+	ENSMUSG00002075527	miRNA	Gm54895
1	51177440	51180381	-	ENSMUSG00000101242	lncRNA	Gm28319
1	51187468	51189740	+	ENSMUSG00000099924	lncRNA	Gm28320
1	51234380	51236907	+	ENSMUSG00000099625	lncRNA	Gm29325
1	51257545	51372938	-	ENSMUSG00000101799	lncRNA	9330175M20Rik
1	51328285	51342119	+	ENSMUSG00000045954	protein_coding	Cavin2
1	51356687	51357711	-	ENSMUSG00000099741	processed_pseudogene	Gm5253
1	51497091	51498090	-	ENSMUSG00000101702	lncRNA	1700072G22Rik
1	153625172	153639967	+	ENSMUSG00000066800	protein_coding	Rnasel
1	153626428	153627293	+	ENSMUSG00000100183	lncRNA	Gm28512
1	10207796	10302895	-	ENSMUSG00000067851	protein_coding	Arfgef1
1	10236764	10237003	+	ENSMUSG00002076532	misc_RNA	Gm54899
1	10267306	10269027	-	ENSMUSG00000102556	TEC	Gm37569
1	80478790	80736244	-	ENSMUSG00000038608	protein_coding	Dock10
1	10394945	10790170	-	ENSMUSG00000042501	protein_coding	Cpa6
1	10519470	10522214	-	ENSMUSG00000103810	TEC	Gm38005
1	10624323	10625778	-	ENSMUSG00000083422	processed_pseudogene	Gm15604
1	10625779	10625885	-	ENSMUSG00000119312	snRNA	Gm25253
1	153655127	153719888	-	ENSMUSG00000042641	protein_coding	Rgsl1
1	10765348	10765839	+	ENSMUSG00000081417	processed_pseudogene	Gm15603
1	10852681	10854602	-	ENSMUSG00000103448	TEC	Gm37133
1	80643726	80647281	-	ENSMUSG00000103192	TEC	Gm37645
1	80706526	80708381	-	ENSMUSG00000104488	TEC	Gm38062
1	10875505	10876746	+	ENSMUSG00000100212	processed_pseudogene	Gm5522
1	80724939	80726771	-	ENSMUSG00000102721	TEC	A630081D01Rik
